[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\Ba_356KeV.csv
XTITLE=x
YTITLE=y

[DATA]
1808, 0, 1
2024, 0, 1
2379, 0, 1
2436, 0, 1
2694, 0, 1
2749, 0, 1
3301, 0, 1
3474, 0, 1
3506, 0, 1
3690, 0, 1
3760, 0, 1
3781, 0, 1
3863, 0, 1
3898, 0, 1
3904, 0, 1
3954, 0, 1
4000, 0, 1
4018, 0, 1
4050, 0, 1
4053, 0, 1
4065, 0, 1
4110, 0, 1
4213, 0, 1
4227, 0, 1
4230, 0, 1
4364, 0, 1
4370, 0, 1
4375, 0, 1
4379, 0, 1
4388, 0, 1
4413, 0, 1
4424, 0, 1
4467, 0, 1
4479, 0, 1
4482, 0, 1
4496, 0, 1
4505, 0, 1
4506, 0, 1
4507, 0, 1
4508, 0, 7
4509, 0, 9
4510, 0, 12
4511, 0, 13
4512, 0, 18
4513, 0, 30
4514, 0, 32
4515, 0, 34
4516, 0, 40
4517, 0, 33
4518, 0, 30
4519, 0, 30
4520, 0, 30
4521, 0, 40
4522, 0, 37
4523, 0, 31
4524, 0, 28
4525, 0, 33
4526, 0, 41
4527, 0, 37
4528, 0, 33
4529, 0, 42
4530, 0, 38
4531, 0, 43
4532, 0, 37
4533, 0, 41
4534, 0, 44
4535, 0, 37
4536, 0, 46
4537, 0, 43
4538, 0, 44
4539, 0, 43
4540, 0, 42
4541, 0, 38
4542, 0, 37
4543, 0, 42
4544, 0, 48
4545, 0, 52
4546, 0, 47
4547, 0, 46
4548, 0, 40
4549, 0, 35
4550, 0, 37
4551, 0, 51
4552, 0, 52
4553, 0, 45
4554, 0, 44
4555, 0, 46
4556, 0, 51
4557, 0, 48
4558, 0, 48
4559, 0, 38
4560, 0, 43
4561, 0, 31
4562, 0, 41
4563, 0, 36
4564, 0, 36
4565, 0, 43
4566, 0, 58
4567, 0, 55
4568, 0, 40
4569, 0, 48
4570, 0, 35
4571, 0, 49
4572, 0, 51
4573, 0, 54
4574, 0, 48
4575, 0, 55
4576, 0, 45
4577, 0, 38
4578, 0, 60
4579, 0, 60
4580, 0, 60
4581, 0, 72
4582, 0, 51
4583, 0, 48
4584, 0, 53
4585, 0, 68
4586, 0, 50
4587, 0, 61
4588, 0, 59
4589, 0, 66
4590, 0, 66
4591, 0, 71
4592, 0, 65
4593, 0, 78
4594, 0, 57
4595, 0, 52
4596, 0, 54
4597, 0, 62
4598, 0, 58
4599, 0, 68
4600, 0, 62
4601, 0, 58
4602, 0, 72
4603, 0, 62
4604, 0, 69
4605, 0, 71
4606, 0, 54
4607, 0, 66
4608, 0, 66
4609, 0, 59
4610, 0, 68
4611, 0, 65
4612, 0, 57
4613, 0, 63
4614, 0, 65
4615, 0, 74
4616, 0, 70
4617, 0, 66
4618, 0, 71
4619, 0, 64
4620, 0, 83
4621, 0, 74
4622, 0, 74
4623, 0, 65
4624, 0, 86
4625, 0, 70
4626, 0, 73
4627, 0, 71
4628, 0, 59
4629, 0, 65
4630, 0, 60
4631, 0, 64
4632, 0, 82
4633, 0, 72
4634, 0, 63
4635, 0, 75
4636, 0, 87
4637, 0, 59
4638, 0, 66
4639, 0, 80
4640, 0, 67
4641, 0, 68
4642, 0, 75
4643, 0, 76
4644, 0, 75
4645, 0, 94
4646, 0, 82
4647, 0, 73
4648, 0, 94
4649, 0, 63
4650, 0, 88
4651, 0, 73
4652, 0, 97
4653, 0, 89
4654, 0, 80
4655, 0, 92
4656, 0, 97
4657, 0, 84
4658, 0, 86
4659, 0, 88
4660, 0, 98
4661, 0, 103
4662, 0, 82
4663, 0, 92
4664, 0, 90
4665, 0, 89
4666, 0, 80
4667, 0, 106
4668, 0, 89
4669, 0, 102
4670, 0, 96
4671, 0, 74
4672, 0, 101
4673, 0, 105
4674, 0, 100
4675, 0, 113
4676, 0, 109
4677, 0, 105
4678, 0, 111
4679, 0, 106
4680, 0, 106
4681, 0, 103
4682, 0, 105
4683, 0, 93
4684, 0, 94
4685, 0, 75
