[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\Ba_Full_Spectrum.csv
XTITLE=x
YTITLE=y

[DATA]
448, 0, 1177
449, 0, 1174
450, 0, 1213
451, 0, 1203
452, 0, 1140
453, 0, 1237
454, 0, 1141
455, 0, 1164
456, 0, 1153
457, 0, 1193
458, 0, 1221
459, 0, 1219
460, 0, 1137
461, 0, 1159
462, 0, 1182
463, 0, 1176
464, 0, 1136
465, 0, 1158
466, 0, 1071
467, 0, 1092
468, 0, 1114
469, 0, 1101
470, 0, 1051
471, 0, 1043
472, 0, 1018
473, 0, 1007
474, 0, 1024
475, 0, 970
476, 0, 939
477, 0, 907
478, 0, 874
479, 0, 931
480, 0, 839
481, 0, 871
482, 0, 873
483, 0, 861
484, 0, 879
485, 0, 733
486, 0, 757
487, 0, 701
488, 0, 681
489, 0, 702
490, 0, 723
491, 0, 679
492, 0, 615
493, 0, 633
494, 0, 612
495, 0, 605
496, 0, 557
497, 0, 590
498, 0, 557
499, 0, 543
500, 0, 532
501, 0, 476
502, 0, 513
503, 0, 447
504, 0, 497
505, 0, 459
506, 0, 481
507, 0, 432
508, 0, 437
509, 0, 443
510, 0, 434
511, 0, 407
512, 0, 373
513, 0, 387
514, 0, 391
515, 0, 342
516, 0, 317
517, 0, 359
518, 0, 313
519, 0, 310
520, 0, 315
521, 0, 327
522, 0, 280
523, 0, 322
524, 0, 262
525, 0, 280
526, 0, 294
527, 0, 296
528, 0, 261
529, 0, 252
530, 0, 265
531, 0, 230
532, 0, 221
533, 0, 236
534, 0, 262
535, 0, 213
536, 0, 232
537, 0, 239
538, 0, 209
539, 0, 204
540, 0, 171
541, 0, 181
542, 0, 214
543, 0, 183
544, 0, 193
545, 0, 203
546, 0, 208
547, 0, 176
548, 0, 187
549, 0, 150
550, 0, 148
551, 0, 159
552, 0, 164
553, 0, 144
554, 0, 148
555, 0, 130
556, 0, 134
557, 0, 126
558, 0, 133
559, 0, 105
560, 0, 115
561, 0, 124
562, 0, 94
563, 0, 108
564, 0, 118
565, 0, 91
566, 0, 98
567, 0, 80
568, 0, 102
569, 0, 87
570, 0, 79
571, 0, 88
572, 0, 76
573, 0, 72
574, 0, 64
575, 0, 69
576, 0, 73
577, 0, 70
578, 0, 58
579, 0, 72
580, 0, 70
581, 0, 69
582, 0, 40
583, 0, 65
584, 0, 49
585, 0, 56
586, 0, 48
587, 0, 55
588, 0, 55
589, 0, 50
590, 0, 65
591, 0, 52
592, 0, 56
593, 0, 53
594, 0, 39
595, 0, 52
596, 0, 35
597, 0, 48
598, 0, 39
599, 0, 43
600, 0, 37
601, 0, 43
602, 0, 34
603, 0, 44
604, 0, 30
605, 0, 40
606, 0, 34
607, 0, 36
608, 0, 39
609, 0, 29
610, 0, 38
611, 0, 39
612, 0, 24
613, 0, 39
614, 0, 32
615, 0, 38
616, 0, 22
617, 0, 37
618, 0, 35
619, 0, 44
620, 0, 43
621, 0, 36
622, 0, 43
623, 0, 38
624, 0, 31
625, 0, 35
626, 0, 28
627, 0, 38
628, 0, 34
629, 0, 34
630, 0, 43
631, 0, 41
632, 0, 37
633, 0, 29
634, 0, 38
635, 0, 36
636, 0, 34
637, 0, 27
638, 0, 44
639, 0, 35
640, 0, 33
641, 0, 47
642, 0, 40
643, 0, 40
644, 0, 42
645, 0, 38
646, 0, 36
647, 0, 45
648, 0, 41
649, 0, 32
650, 0, 41
651, 0, 40
652, 0, 42
653, 0, 39
654, 0, 37
655, 0, 46
656, 0, 37
657, 0, 26
658, 0, 41
659, 0, 46
660, 0, 40
661, 0, 37
662, 0, 44
663, 0, 40
664, 0, 45
665, 0, 41
666, 0, 38
667, 0, 41
668, 0, 49
669, 0, 40
670, 0, 40
671, 0, 34
672, 0, 50
673, 0, 53
674, 0, 46
675, 0, 43
676, 0, 38
677, 0, 55
678, 0, 40
679, 0, 66
680, 0, 36
681, 0, 39
682, 0, 52
683, 0, 52
684, 0, 46
685, 0, 44
686, 0, 43
687, 0, 64
688, 0, 54
689, 0, 61
690, 0, 55
691, 0, 51
692, 0, 58
693, 0, 50
694, 0, 48
695, 0, 57
696, 0, 58
697, 0, 50
698, 0, 57
699, 0, 66
700, 0, 51
701, 0, 57
702, 0, 50
703, 0, 57
704, 0, 63
705, 0, 54
706, 0, 74
707, 0, 45
708, 0, 60
709, 0, 49
710, 0, 47
711, 0, 43
712, 0, 50
713, 0, 55
714, 0, 67
715, 0, 64
716, 0, 71
717, 0, 68
718, 0, 62
719, 0, 67
720, 0, 54
721, 0, 71
722, 0, 80
723, 0, 67
724, 0, 64
725, 0, 76
726, 0, 57
727, 0, 58
728, 0, 62
729, 0, 58
730, 0, 61
731, 0, 56
732, 0, 77
733, 0, 81
734, 0, 66
735, 0, 68
736, 0, 79
737, 0, 77
738, 0, 65
739, 0, 70
740, 0, 73
741, 0, 81
742, 0, 68
743, 0, 79
744, 0, 61
745, 0, 63
746, 0, 63
747, 0, 71
748, 0, 66
749, 0, 73
750, 0, 67
751, 0, 78
752, 0, 69
753, 0, 65
754, 0, 88
755, 0, 79
756, 0, 71
757, 0, 72
758, 0, 71
759, 0, 74
760, 0, 81
761, 0, 94
762, 0, 83
763, 0, 82
764, 0, 71
765, 0, 91
766, 0, 82
767, 0, 68
768, 0, 83
769, 0, 62
770, 0, 86
771, 0, 95
772, 0, 100
773, 0, 81
774, 0, 98
775, 0, 71
776, 0, 81
777, 0, 74
778, 0, 87
779, 0, 79
780, 0, 69
781, 0, 83
782, 0, 83
783, 0, 100
784, 0, 100
785, 0, 79
786, 0, 83
787, 0, 77
788, 0, 73
789, 0, 68
790, 0, 98
791, 0, 81
792, 0, 74
793, 0, 79
794, 0, 85
795, 0, 86
796, 0, 68
797, 0, 74
798, 0, 77
799, 0, 80
800, 0, 79
801, 0, 75
802, 0, 78
803, 0, 81
804, 0, 92
805, 0, 70
806, 0, 84
807, 0, 70
808, 0, 66
809, 0, 64
810, 0, 70
811, 0, 84
812, 0, 82
813, 0, 61
814, 0, 89
815, 0, 74
816, 0, 85
817, 0, 80
818, 0, 77
819, 0, 92
820, 0, 66
821, 0, 77
822, 0, 85
823, 0, 75
824, 0, 67
825, 0, 80
826, 0, 80
827, 0, 72
828, 0, 74
829, 0, 75
830, 0, 74
831, 0, 73
832, 0, 67
833, 0, 65
834, 0, 72
835, 0, 55
836, 0, 71
837, 0, 69
838, 0, 68
839, 0, 56
840, 0, 64
841, 0, 64
842, 0, 74
843, 0, 66
844, 0, 70
845, 0, 69
846, 0, 73
847, 0, 65
848, 0, 59
849, 0, 69
850, 0, 64
851, 0, 60
852, 0, 60
853, 0, 59
854, 0, 62
855, 0, 69
856, 0, 72
857, 0, 61
858, 0, 56
859, 0, 57
860, 0, 53
861, 0, 62
862, 0, 48
863, 0, 54
864, 0, 61
865, 0, 64
866, 0, 50
867, 0, 62
868, 0, 65
869, 0, 59
870, 0, 66
871, 0, 65
872, 0, 60
873, 0, 56
874, 0, 62
875, 0, 71
876, 0, 61
877, 0, 56
878, 0, 63
879, 0, 70
880, 0, 63
881, 0, 56
882, 0, 54
883, 0, 74
884, 0, 69
885, 0, 42
886, 0, 55
887, 0, 55
888, 0, 57
889, 0, 52
890, 0, 61
891, 0, 64
892, 0, 60
893, 0, 76
894, 0, 63
895, 0, 65
896, 0, 53
897, 0, 68
898, 0, 56
899, 0, 57
900, 0, 66
901, 0, 78
902, 0, 55
903, 0, 60
904, 0, 68
905, 0, 78
906, 0, 76
907, 0, 82
908, 0, 63
909, 0, 70
910, 0, 70
911, 0, 71
912, 0, 81
913, 0, 85
914, 0, 77
915, 0, 67
916, 0, 80
917, 0, 79
918, 0, 74
919, 0, 73
920, 0, 69
921, 0, 82
922, 0, 90
923, 0, 82
924, 0, 71
925, 0, 72
926, 0, 81
927, 0, 83
928, 0, 77
929, 0, 73
930, 0, 85
931, 0, 67
932, 0, 63
933, 0, 84
934, 0, 84
935, 0, 84
936, 0, 94
937, 0, 80
938, 0, 89
939, 0, 87
940, 0, 96
941, 0, 97
942, 0, 87
943, 0, 85
944, 0, 89
945, 0, 82
946, 0, 85
947, 0, 98
948, 0, 83
949, 0, 98
950, 0, 97
951, 0, 99
952, 0, 96
953, 0, 80
954, 0, 100
955, 0, 90
956, 0, 98
957, 0, 100
958, 0, 86
959, 0, 90
960, 0, 77
961, 0, 87
962, 0, 94
963, 0, 101
964, 0, 85
965, 0, 101
966, 0, 97
967, 0, 104
968, 0, 82
969, 0, 87
970, 0, 105
971, 0, 93
972, 0, 92
973, 0, 103
974, 0, 102
975, 0, 87
976, 0, 99
977, 0, 80
978, 0, 106
979, 0, 114
980, 0, 85
981, 0, 92
982, 0, 102
983, 0, 104
984, 0, 93
985, 0, 82
986, 0, 91
987, 0, 81
988, 0, 92
989, 0, 80
990, 0, 102
991, 0, 101
992, 0, 88
993, 0, 95
994, 0, 91
995, 0, 80
996, 0, 98
997, 0, 98
998, 0, 97
999, 0, 104
1000, 0, 106
1001, 0, 90
1002, 0, 87
1003, 0, 90
1004, 0, 87
1005, 0, 104
1006, 0, 95
1007, 0, 86
1008, 0, 61
1009, 0, 99
1010, 0, 73
1011, 0, 83
1012, 0, 103
1013, 0, 77
1014, 0, 99
1015, 0, 99
1016, 0, 89
1017, 0, 66
1018, 0, 77
1019, 0, 106
1020, 0, 87
1021, 0, 87
1022, 0, 81
1023, 0, 94
1024, 0, 100
1025, 0, 91
1026, 0, 69
1027, 0, 88
1028, 0, 75
1029, 0, 84
1030, 0, 81
1031, 0, 92
