[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\left_Na_2_withSCAadjustment.csv
XTITLE=x
YTITLE=y

[DATA]
6700, 0, 66
6701, 0, 57
6702, 0, 57
6703, 0, 79
6704, 0, 54
6705, 0, 53
6706, 0, 65
6707, 0, 56
6708, 0, 65
6709, 0, 78
6710, 0, 64
6711, 0, 60
6712, 0, 68
6713, 0, 72
6714, 0, 57
6715, 0, 61
6716, 0, 41
6717, 0, 61
6718, 0, 65
6719, 0, 66
6720, 0, 81
6721, 0, 81
6722, 0, 78
6723, 0, 57
6724, 0, 72
6725, 0, 61
6726, 0, 55
6727, 0, 67
6728, 0, 72
6729, 0, 74
6730, 0, 72
6731, 0, 85
6732, 0, 70
6733, 0, 79
6734, 0, 81
6735, 0, 77
6736, 0, 70
6737, 0, 73
6738, 0, 76
6739, 0, 69
6740, 0, 74
6741, 0, 73
6742, 0, 108
6743, 0, 93
6744, 0, 71
6745, 0, 71
6746, 0, 86
6747, 0, 90
6748, 0, 87
6749, 0, 84
6750, 0, 78
6751, 0, 82
6752, 0, 81
6753, 0, 77
6754, 0, 96
6755, 0, 73
6756, 0, 76
6757, 0, 84
6758, 0, 79
6759, 0, 73
6760, 0, 89
6761, 0, 107
6762, 0, 92
6763, 0, 84
6764, 0, 69
6765, 0, 95
6766, 0, 80
6767, 0, 104
6768, 0, 76
6769, 0, 82
6770, 0, 102
6771, 0, 95
6772, 0, 85
6773, 0, 92
6774, 0, 95
6775, 0, 96
6776, 0, 87
6777, 0, 102
6778, 0, 99
6779, 0, 99
6780, 0, 85
6781, 0, 111
6782, 0, 108
6783, 0, 113
6784, 0, 90
6785, 0, 85
6786, 0, 95
6787, 0, 94
6788, 0, 91
6789, 0, 105
6790, 0, 102
6791, 0, 124
6792, 0, 102
6793, 0, 108
6794, 0, 118
6795, 0, 100
6796, 0, 89
6797, 0, 106
6798, 0, 98
6799, 0, 101
6800, 0, 107
6801, 0, 101
6802, 0, 100
6803, 0, 119
6804, 0, 107
6805, 0, 123
6806, 0, 105
6807, 0, 115
6808, 0, 124
6809, 0, 121
6810, 0, 127
6811, 0, 127
6812, 0, 97
6813, 0, 113
6814, 0, 119
6815, 0, 119
6816, 0, 112
6817, 0, 104
6818, 0, 103
6819, 0, 128
6820, 0, 116
6821, 0, 122
6822, 0, 118
6823, 0, 121
6824, 0, 141
6825, 0, 133
6826, 0, 119
6827, 0, 109
6828, 0, 116
6829, 0, 126
6830, 0, 121
6831, 0, 145
6832, 0, 128
6833, 0, 130
6834, 0, 135
6835, 0, 132
6836, 0, 112
6837, 0, 140
6838, 0, 118
6839, 0, 117
6840, 0, 133
6841, 0, 125
6842, 0, 116
6843, 0, 148
6844, 0, 131
6845, 0, 126
6846, 0, 130
6847, 0, 144
6848, 0, 129
6849, 0, 130
6850, 0, 139
6851, 0, 156
6852, 0, 127
6853, 0, 133
6854, 0, 160
6855, 0, 139
6856, 0, 138
6857, 0, 135
6858, 0, 136
6859, 0, 144
6860, 0, 146
6861, 0, 142
6862, 0, 136
6863, 0, 152
6864, 0, 142
6865, 0, 143
6866, 0, 148
6867, 0, 166
6868, 0, 140
6869, 0, 162
6870, 0, 151
6871, 0, 144
6872, 0, 155
6873, 0, 155
6874, 0, 151
6875, 0, 166
6876, 0, 155
6877, 0, 171
6878, 0, 153
6879, 0, 170
6880, 0, 175
6881, 0, 166
6882, 0, 161
6883, 0, 147
6884, 0, 168
6885, 0, 150
6886, 0, 152
6887, 0, 132
6888, 0, 148
6889, 0, 149
6890, 0, 197
6891, 0, 167
6892, 0, 175
6893, 0, 161
6894, 0, 179
6895, 0, 164
6896, 0, 189
6897, 0, 170
6898, 0, 155
6899, 0, 180
6900, 0, 165
6901, 0, 196
6902, 0, 165
6903, 0, 162
6904, 0, 158
6905, 0, 137
6906, 0, 167
6907, 0, 167
6908, 0, 159
6909, 0, 153
6910, 0, 161
6911, 0, 194
6912, 0, 193
6913, 0, 171
6914, 0, 191
6915, 0, 188
6916, 0, 189
6917, 0, 167
6918, 0, 182
6919, 0, 185
6920, 0, 158
6921, 0, 187
6922, 0, 183
6923, 0, 202
6924, 0, 183
6925, 0, 192
6926, 0, 199
6927, 0, 180
6928, 0, 182
6929, 0, 203
6930, 0, 179
6931, 0, 192
6932, 0, 215
6933, 0, 202
6934, 0, 202
6935, 0, 176
