[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\right_Na_2_withSCAadjustment.csv
XTITLE=x
YTITLE=y

[DATA]
6770, 0, 15
6771, 0, 9
6772, 0, 14
6773, 0, 11
6774, 0, 15
6775, 0, 15
6776, 0, 14
6777, 0, 18
6778, 0, 17
6779, 0, 9
6780, 0, 13
6781, 0, 17
6782, 0, 10
6783, 0, 19
6784, 0, 17
6785, 0, 11
6786, 0, 12
6787, 0, 10
6788, 0, 17
6789, 0, 13
6790, 0, 10
6791, 0, 20
6792, 0, 18
6793, 0, 14
6794, 0, 16
6795, 0, 12
6796, 0, 11
6797, 0, 23
6798, 0, 19
6799, 0, 11
6800, 0, 14
6801, 0, 18
6802, 0, 13
6803, 0, 15
6804, 0, 11
6805, 0, 15
6806, 0, 12
6807, 0, 18
6808, 0, 21
6809, 0, 15
6810, 0, 20
6811, 0, 16
6812, 0, 13
6813, 0, 10
6814, 0, 17
6815, 0, 20
6816, 0, 12
6817, 0, 22
6818, 0, 18
6819, 0, 19
6820, 0, 18
6821, 0, 24
6822, 0, 19
6823, 0, 14
6824, 0, 20
6825, 0, 17
6826, 0, 24
6827, 0, 17
6828, 0, 18
6829, 0, 17
6830, 0, 19
6831, 0, 26
6832, 0, 25
6833, 0, 19
6834, 0, 17
6835, 0, 19
6836, 0, 14
6837, 0, 23
6838, 0, 11
6839, 0, 16
6840, 0, 20
6841, 0, 13
6842, 0, 13
6843, 0, 20
6844, 0, 20
6845, 0, 17
6846, 0, 28
6847, 0, 34
6848, 0, 18
6849, 0, 23
6850, 0, 24
6851, 0, 19
6852, 0, 17
6853, 0, 21
6854, 0, 26
6855, 0, 18
6856, 0, 16
6857, 0, 23
6858, 0, 25
6859, 0, 19
6860, 0, 28
6861, 0, 12
6862, 0, 22
6863, 0, 18
6864, 0, 18
6865, 0, 27
6866, 0, 23
6867, 0, 20
6868, 0, 25
6869, 0, 26
6870, 0, 22
6871, 0, 26
6872, 0, 35
6873, 0, 22
6874, 0, 23
6875, 0, 18
6876, 0, 28
6877, 0, 29
6878, 0, 24
6879, 0, 23
6880, 0, 27
6881, 0, 15
6882, 0, 22
6883, 0, 29
6884, 0, 31
6885, 0, 18
6886, 0, 33
6887, 0, 26
6888, 0, 21
6889, 0, 18
6890, 0, 23
6891, 0, 26
6892, 0, 20
6893, 0, 16
6894, 0, 32
6895, 0, 25
6896, 0, 34
6897, 0, 32
6898, 0, 32
6899, 0, 25
6900, 0, 28
6901, 0, 27
6902, 0, 28
6903, 0, 38
6904, 0, 26
6905, 0, 29
6906, 0, 19
6907, 0, 27
6908, 0, 24
6909, 0, 35
6910, 0, 33
6911, 0, 34
6912, 0, 32
6913, 0, 24
6914, 0, 24
6915, 0, 29
6916, 0, 38
6917, 0, 31
6918, 0, 22
6919, 0, 20
6920, 0, 30
6921, 0, 31
6922, 0, 29
6923, 0, 23
6924, 0, 21
6925, 0, 23
6926, 0, 36
6927, 0, 25
6928, 0, 25
6929, 0, 43
6930, 0, 27
6931, 0, 33
6932, 0, 33
6933, 0, 36
6934, 0, 34
6935, 0, 26
6936, 0, 30
6937, 0, 41
6938, 0, 33
6939, 0, 30
6940, 0, 33
6941, 0, 40
6942, 0, 30
6943, 0, 36
6944, 0, 28
6945, 0, 44
6946, 0, 37
6947, 0, 31
6948, 0, 44
6949, 0, 42
6950, 0, 43
6951, 0, 43
6952, 0, 46
6953, 0, 41
6954, 0, 43
6955, 0, 36
6956, 0, 43
6957, 0, 33
6958, 0, 38
6959, 0, 38
6960, 0, 35
6961, 0, 46
6962, 0, 41
6963, 0, 47
6964, 0, 51
6965, 0, 46
6966, 0, 28
6967, 0, 35
6968, 0, 38
6969, 0, 40
6970, 0, 41
6971, 0, 49
6972, 0, 54
6973, 0, 55
6974, 0, 53
6975, 0, 48
6976, 0, 48
6977, 0, 49
6978, 0, 55
6979, 0, 46
6980, 0, 37
6981, 0, 48
6982, 0, 45
6983, 0, 45
6984, 0, 52
6985, 0, 46
6986, 0, 55
6987, 0, 49
6988, 0, 47
6989, 0, 51
6990, 0, 40
6991, 0, 54
6992, 0, 38
6993, 0, 53
6994, 0, 62
6995, 0, 56
6996, 0, 54
6997, 0, 64
6998, 0, 49
6999, 0, 58
7000, 0, 55
7001, 0, 55
7002, 0, 51
7003, 0, 41
7004, 0, 46
7005, 0, 56
7006, 0, 72
7007, 0, 59
7008, 0, 72
7009, 0, 65
7010, 0, 64
7011, 0, 59
7012, 0, 43
7013, 0, 69
7014, 0, 51
7015, 0, 62
7016, 0, 52
7017, 0, 71
7018, 0, 75
7019, 0, 60
7020, 0, 63
7021, 0, 58
7022, 0, 58
7023, 0, 70
7024, 0, 66
7025, 0, 66
7026, 0, 71
7027, 0, 51
7028, 0, 72
7029, 0, 70
7030, 0, 63
7031, 0, 77
7032, 0, 76
7033, 0, 65
7034, 0, 68
7035, 0, 70
7036, 0, 69
7037, 0, 69
7038, 0, 68
7039, 0, 53
7040, 0, 63
7041, 0, 61
7042, 0, 73
7043, 0, 71
7044, 0, 73
7045, 0, 69
7046, 0, 52
7047, 0, 50
7048, 0, 58
7049, 0, 83
7050, 0, 61
7051, 0, 64
7052, 0, 70
7053, 0, 77
7054, 0, 90
7055, 0, 84
7056, 0, 83
7057, 0, 88
7058, 0, 80
7059, 0, 86
7060, 0, 66
7061, 0, 73
7062, 0, 77
7063, 0, 85
7064, 0, 78
7065, 0, 71
7066, 0, 94
7067, 0, 87
7068, 0, 87
7069, 0, 76
7070, 0, 82
7071, 0, 86
7072, 0, 74
7073, 0, 84
7074, 0, 75
7075, 0, 92
7076, 0, 93
7077, 0, 79
7078, 0, 88
7079, 0, 94
7080, 0, 92
7081, 0, 93
7082, 0, 94
7083, 0, 92
7084, 0, 87
7085, 0, 80
7086, 0, 83
7087, 0, 86
7088, 0, 79
7089, 0, 86
7090, 0, 80
7091, 0, 80
7092, 0, 85
7093, 0, 116
7094, 0, 97
7095, 0, 81
7096, 0, 73
7097, 0, 103
7098, 0, 93
7099, 0, 105
7100, 0, 102
7101, 0, 102
7102, 0, 86
7103, 0, 91
7104, 0, 87
7105, 0, 104
7106, 0, 94
7107, 0, 97
7108, 0, 103
7109, 0, 91
7110, 0, 91
7111, 0, 102
7112, 0, 104
7113, 0, 106
7114, 0, 105
7115, 0, 105
7116, 0, 102
7117, 0, 89
7118, 0, 112
7119, 0, 103
7120, 0, 97
7121, 0, 113
7122, 0, 95
7123, 0, 116
7124, 0, 113
7125, 0, 96
7126, 0, 106
7127, 0, 103
7128, 0, 114
7129, 0, 125
7130, 0, 97
7131, 0, 92
7132, 0, 88
7133, 0, 88
7134, 0, 117
7135, 0, 105
7136, 0, 120
7137, 0, 104
7138, 0, 102
7139, 0, 113
7140, 0, 127
7141, 0, 113
7142, 0, 129
7143, 0, 112
7144, 0, 108
7145, 0, 108
7146, 0, 101
7147, 0, 110
7148, 0, 110
7149, 0, 111
7150, 0, 90
7151, 0, 122
7152, 0, 114
7153, 0, 113
7154, 0, 128
7155, 0, 117
7156, 0, 109
7157, 0, 129
7158, 0, 110
7159, 0, 105
7160, 0, 140
7161, 0, 123
7162, 0, 143
7163, 0, 123
7164, 0, 113
7165, 0, 124
7166, 0, 132
7167, 0, 123
7168, 0, 133
7169, 0, 125
7170, 0, 112
7171, 0, 125
7172, 0, 131
7173, 0, 124
7174, 0, 118
7175, 0, 119
7176, 0, 125
7177, 0, 108
7178, 0, 121
7179, 0, 142
7180, 0, 121
7181, 0, 129
7182, 0, 137
7183, 0, 128
7184, 0, 123
7185, 0, 112
7186, 0, 111
7187, 0, 127
7188, 0, 117
7189, 0, 126
7190, 0, 146
7191, 0, 129
7192, 0, 148
7193, 0, 133
7194, 0, 123
7195, 0, 117
7196, 0, 141
7197, 0, 127
7198, 0, 134
7199, 0, 145
7200, 0, 140
7201, 0, 146
7202, 0, 135
7203, 0, 123
7204, 0, 132
7205, 0, 140
7206, 0, 155
7207, 0, 148
7208, 0, 159
7209, 0, 140
7210, 0, 160
7211, 0, 147
7212, 0, 155
7213, 0, 152
7214, 0, 134
7215, 0, 145
7216, 0, 132
7217, 0, 152
7218, 0, 150
7219, 0, 141
7220, 0, 160
7221, 0, 145
7222, 0, 150
7223, 0, 139
7224, 0, 149
7225, 0, 155
7226, 0, 170
7227, 0, 154
7228, 0, 161
7229, 0, 141
7230, 0, 149
7231, 0, 134
7232, 0, 161
7233, 0, 152
7234, 0, 165
7235, 0, 136
7236, 0, 172
7237, 0, 160
7238, 0, 154
7239, 0, 147
7240, 0, 163
7241, 0, 151
7242, 0, 152
7243, 0, 176
7244, 0, 152
7245, 0, 164
7246, 0, 152
7247, 0, 157
7248, 0, 154
7249, 0, 140
7250, 0, 144
7251, 0, 171
7252, 0, 170
7253, 0, 158
7254, 0, 148
7255, 0, 171
7256, 0, 166
7257, 0, 173
7258, 0, 157
7259, 0, 173
7260, 0, 143
7261, 0, 171
7262, 0, 173
7263, 0, 145
7264, 0, 179
7265, 0, 174
7266, 0, 154
7267, 0, 146
7268, 0, 156
7269, 0, 173
7270, 0, 172
7271, 0, 175
7272, 0, 175
7273, 0, 154
7274, 0, 188
7275, 0, 157
7276, 0, 150
7277, 0, 142
7278, 0, 188
7279, 0, 164
7280, 0, 180
7281, 0, 175
7282, 0, 169
7283, 0, 173
7284, 0, 167
7285, 0, 155
7286, 0, 187
7287, 0, 160
7288, 0, 169
7289, 0, 183
7290, 0, 163
7291, 0, 161
7292, 0, 156
7293, 0, 166
7294, 0, 177
7295, 0, 151
7296, 0, 165
7297, 0, 158
7298, 0, 197
7299, 0, 171
7300, 0, 176
7301, 0, 151
7302, 0, 181
7303, 0, 169
7304, 0, 197
7305, 0, 174
7306, 0, 173
7307, 0, 182
7308, 0, 175
7309, 0, 164
7310, 0, 169
7311, 0, 178
7312, 0, 148
7313, 0, 172
7314, 0, 156
7315, 0, 173
7316, 0, 177
7317, 0, 186
7318, 0, 178
7319, 0, 173
7320, 0, 193
7321, 0, 201
7322, 0, 185
7323, 0, 184
7324, 0, 187
7325, 0, 182
7326, 0, 178
7327, 0, 159
7328, 0, 196
7329, 0, 152
7330, 0, 152
7331, 0, 182
7332, 0, 167
7333, 0, 163
7334, 0, 180
7335, 0, 198
7336, 0, 191
7337, 0, 192
7338, 0, 173
7339, 0, 189
7340, 0, 175
7341, 0, 170
7342, 0, 197
7343, 0, 195
7344, 0, 178
7345, 0, 180
7346, 0, 152
7347, 0, 196
7348, 0, 168
7349, 0, 170
7350, 0, 199
7351, 0, 175
7352, 0, 175
7353, 0, 194
7354, 0, 170
7355, 0, 193
7356, 0, 169
7357, 0, 175
7358, 0, 165
7359, 0, 183
7360, 0, 179
7361, 0, 180
7362, 0, 166
7363, 0, 173
7364, 0, 171
7365, 0, 153
7366, 0, 185
7367, 0, 158
7368, 0, 170
7369, 0, 176
7370, 0, 181
7371, 0, 205
7372, 0, 182
7373, 0, 163
