[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\left_Na_2.csv
XTITLE=x
YTITLE=y

[DATA]
59, 0, 1
60, 0, 1
61, 0, 7
62, 0, 19
63, 0, 27
64, 0, 27
65, 0, 40
66, 0, 27
67, 0, 28
68, 0, 27
69, 0, 31
70, 0, 43
71, 0, 36
72, 0, 37
73, 0, 27
74, 0, 32
75, 0, 27
76, 0, 31
77, 0, 36
78, 0, 31
79, 0, 30
80, 0, 37
81, 0, 31
82, 0, 32
83, 0, 31
84, 0, 37
85, 0, 31
86, 0, 37
87, 0, 37
88, 0, 26
89, 0, 33
90, 0, 28
91, 0, 33
92, 0, 33
93, 0, 27
94, 0, 34
95, 0, 33
96, 0, 32
97, 0, 20
98, 0, 33
99, 0, 36
100, 0, 34
101, 0, 24
102, 0, 32
103, 0, 30
104, 0, 38
105, 0, 31
106, 0, 35
107, 0, 39
108, 0, 32
109, 0, 37
110, 0, 26
111, 0, 29
112, 0, 22
113, 0, 39
114, 0, 36
115, 0, 20
116, 0, 31
117, 0, 34
118, 0, 28
119, 0, 29
120, 0, 32
121, 0, 32
122, 0, 26
123, 0, 34
124, 0, 29
125, 0, 21
126, 0, 39
127, 0, 25
128, 0, 37
129, 0, 29
130, 0, 37
131, 0, 34
132, 0, 32
133, 0, 25
134, 0, 36
135, 0, 29
136, 0, 29
137, 0, 29
138, 0, 29
139, 0, 38
140, 0, 35
141, 0, 31
142, 0, 25
143, 0, 35
144, 0, 34
145, 0, 29
146, 0, 32
147, 0, 37
148, 0, 30
149, 0, 40
150, 0, 32
151, 0, 43
152, 0, 22
153, 0, 25
154, 0, 35
155, 0, 23
156, 0, 35
157, 0, 33
158, 0, 46
159, 0, 33
160, 0, 37
161, 0, 23
162, 0, 41
163, 0, 45
164, 0, 39
165, 0, 35
166, 0, 30
167, 0, 32
168, 0, 31
169, 0, 22
170, 0, 33
171, 0, 32
172, 0, 38
173, 0, 28
174, 0, 36
175, 0, 31
176, 0, 41
177, 0, 27
178, 0, 41
179, 0, 30
180, 0, 51
181, 0, 32
182, 0, 37
183, 0, 37
184, 0, 35
185, 0, 23
186, 0, 43
187, 0, 35
188, 0, 35
189, 0, 36
190, 0, 28
191, 0, 34
192, 0, 30
193, 0, 28
194, 0, 33
195, 0, 44
196, 0, 39
197, 0, 48
198, 0, 29
199, 0, 36
200, 0, 44
201, 0, 29
202, 0, 39
203, 0, 36
204, 0, 32
205, 0, 41
206, 0, 35
207, 0, 38
208, 0, 41
209, 0, 28
210, 0, 41
211, 0, 33
212, 0, 33
213, 0, 37
214, 0, 47
215, 0, 39
216, 0, 29
217, 0, 35
218, 0, 30
219, 0, 34
220, 0, 48
221, 0, 35
222, 0, 36
223, 0, 36
224, 0, 41
225, 0, 48
226, 0, 27
227, 0, 32
228, 0, 28
229, 0, 34
230, 0, 33
231, 0, 31
232, 0, 34
233, 0, 30
234, 0, 33
235, 0, 39
236, 0, 36
237, 0, 39
238, 0, 32
239, 0, 29
240, 0, 33
241, 0, 31
242, 0, 53
243, 0, 44
244, 0, 34
245, 0, 31
246, 0, 35
247, 0, 47
248, 0, 25
249, 0, 39
250, 0, 34
251, 0, 32
252, 0, 40
253, 0, 34
254, 0, 29
255, 0, 33
256, 0, 41
257, 0, 35
258, 0, 39
259, 0, 45
260, 0, 39
261, 0, 22
262, 0, 31
263, 0, 30
264, 0, 28
265, 0, 29
266, 0, 42
267, 0, 29
268, 0, 31
269, 0, 36
270, 0, 40
271, 0, 45
272, 0, 43
273, 0, 48
274, 0, 28
275, 0, 36
276, 0, 35
277, 0, 27
278, 0, 31
279, 0, 37
280, 0, 47
281, 0, 29
282, 0, 43
283, 0, 39
284, 0, 38
285, 0, 30
286, 0, 36
287, 0, 33
288, 0, 24
289, 0, 34
290, 0, 30
291, 0, 32
292, 0, 39
293, 0, 44
294, 0, 43
295, 0, 46
296, 0, 30
297, 0, 25
298, 0, 35
299, 0, 39
300, 0, 34
301, 0, 35
302, 0, 30
303, 0, 30
